Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
140, 2.33333, 2.43092, -2.61074, 54.464, -13.7241, 57.3029, 167.569, 0.0212551, -14.5257, 1.11648, 105.161, 1.1377, -74.6363
141, 2.34167, 2.44276, -2.94089, 54.6944, -13.7299, 57.5566, 167.572, 0.021376, -14.4153, 1.11811, 105.075, 1.1395, -74.721
141, 2.35000, 2.4546, -3.2717, 54.9258, -13.7366, 57.8116, 167.574, 0.0214984, -14.3074, 1.11975, 104.988, 1.14131, -74.8062
141, 2.35833, 2.46644, -3.60318, 55.1581, -13.744, 58.0678, 167.575, 0.0216222, -14.2018, 1.1214, 104.901, 1.14313, -74.8917
142, 2.36667, 2.47827, -3.93537, 55.3914, -13.7524, 58.3255, 167.576, 0.0217475, -14.0987, 1.12306, 104.814, 1.14497, -74.9776
143, 2.37500, 2.49009, -4.26817, 55.6256, -13.7615, 58.5845, 167.575, 0.0218742, -13.9982, 1.12472, 104.726, 1.14681, -75.0639
143, 2.38333, 2.50189, -4.60159, 55.8608, -13.7715, 58.8449, 167.574, 0.0220023, -13.9002, 1.1264, 104.638, 1.14867, -75.1506
144, 2.39167, 2.51369, -4.93567, 56.097, -13.7824, 59.1067, 167.572, 0.0221319, -13.8049, 1.12809, 104.55, 1.15054, -75.2377
144, 2.40000, 2.52547, -5.27029, 56.3341, -13.794, 59.3698, 167.569, 0.0222629, -13.7122, 1.12978, 104.461, 1.15242, -75.3252
144, 2.40833, 2.53723, -5.60548, 56.5722, -13.8065, 59.6343, 167.565, 0.0223953, -13.6222, 1.13149, 104.372, 1.15431, -75.4131
145, 2.41667, 2.54898, -5.94125, 56.8113, -13.8198, 59.9003, 167.56, 0.0225292, -13.535, 1.1332, 104.282, 1.15622, -75.5015
146, 2.42500, 2.5607, -6.2775, 57.0514, -13.834, 60.1677, 167.555, 0.0226644, -13.4506, 1.13493, 104.192, 1.15814, -75.5902
146, 2.43333, 2.5724, -6.61423, 57.2924, -13.8489, 60.4365, 167.548, 0.0228011, -13.369, 1.13666, 104.102, 1.16007, -75.6794
